순위,선수,팀,포지션,경기,선발,이닝,풋아웃,어시스트,실책,병살 처리,수비율,포일,피도루,도루 실패,도루저지율,견제사
1,강백호,KT,1루수,4,0,10,10,1,0,0,1,0,0,0,0,0
1,강민성,KT,3루수,6,0,9,2,4,0,1,1,0,0,0,0,0
1,김민혁,KT,중견수,10,7,42,6,1,0,0,1,0,0,0,0,0
1,김병준,KT,우익수,2,0,4,1,0,0,0,1,0,0,0,0,0
1,김병준,KT,좌익수,3,0,5,1,0,0,0,1,0,0,0,0,0
1,로하스,KT,중견수,6,5,36,8,0,0,0,1,0,0,0,0,0
1,오윤석,KT,1루수,34,22,190,171,15,0,16,1,0,0,0,0,0
33,황재균,KT,1루수,79,65,561,541,50,3,38,0.995,0,0,0,0,0
34,배정대,KT,중견수,92,64,617,156,2,1,1,0.994,0,0,0,0,0
35,장성우,KT,포수,112,98,836,708,43,5,5,0.993,4,104,11,9.6,0
36,오윤석,KT,2루수,48,21,215,48,76,1,12,0.992,0,0,0,0,0
36,김민혁,KT,좌익수,90,83,662,127,1,1,0,0.992,0,0,0,0,0
38,김상수,KT,2루수,99,90,742,167,268,6,45,0.986,0,0,0,0,0
39,장준원,KT,유격수,62,47,355,72,114,3,26,0.984,0,0,0,0,0
40,황재균,KT,3루수,38,31,271,23,22,1,2,0.978,0,0,0,0,0
41,로하스,KT,좌익수,34,19,170,40,1,1,0,0.976,0,0,0,0,0
42,강현우,KT,포수,32,18,160,141,14,4,0,0.975,0,6,2,25,0
43,스티븐슨,KT,중견수,39,39,331,73,2,2,0,0.974,0,0,0,0,0
44,김상수,KT,유격수,25,13,125,29,34,2,6,0.969,0,0,0,0,0
45,조대현,KT,포수,62,24,246,196,10,7,1,0.967,2,15,2,11.8,0
46,로하스,KT,우익수,53,49,385,76,3,3,1,0.963,0,0,0,0,0
46,권동진,KT,유격수,119,81,740,150,236,15,40,0.963,0,0,0,0,0
48,강백호,KT,포수,5,4,32,22,2,1,1,0.96,0,2,2,50,0
49,안현민,KT,우익수,93,84,699,149,14,7,1,0.959,0,0,0,0,0
49,허경민,KT,3루수,113,110,936,75,161,10,10,0.959,0,0,0,0,0
51,장진혁,KT,우익수,27,5,77,19,0,1,0,0.95,0,0,0,0,0
52,박민석,KT,유격수,11,3,43,7,11,1,7,0.947,0,0,0,0,0
52,안현민,KT,중견수,14,12,88,18,0,1,0,0.947,0,0,0,0,0
54,박민석,KT,2루수,5,2,12,4,4,1,0,0.889,0,0,0,0,0
54,이정훈,KT,1루수,2,1,9,8,0,1,0,0.889,0,0,0,0,0
